Player,Salary,Year
Samaki Walker,"$18,500,000",1999
Robert Traylor,"$15,000,000",1999
Tracy McGrady,"$14,841,000",1999
Bill Curley,"$14,000,000",1999
Lee Mayberry,"$13,130,000",1999
Erick Dampier,"$13,125,000",1999
Danny Fortson,"$12,943,000",1999
Dirk Nowitzki,"$12,267,000",1999
Todd Fuller,"$11,218,000",1999
Jason Williams,"$11,000,000",1999
Duane Causwell,"$11,000,000",1999
Chris Whitney,"$10,186,000",1999
Keith Closs,"$10,186,000",1999
Andrew DeClercq,"$10,000,000",1999
Aaron McKie,"$9,740,000",1999
Duane Ferrell,"$9,000,000",1999
B.J. Tyler,"$9,000,000",1999
Tariq Abdul-Wahad,"$9,000,000",1999
Howard Eisley,"$9,000,000",1999
Austin Croshere,"$8,715,000",1999
Vitaly Potapenko,"$8,505,000",1999
Larry Hughes,"$8,500,000",1999
Tim Legler,"$8,300,000",1999
Randy Brown,"$8,300,000",1999
Kobe Bryant,"$7,843,000",1999
Lorenzo Williams,"$7,800,000",1999
Shandon Anderson,"$7,222,000",1999
Scot Pollard,"$7,000,000",1999
Derek Anderson,"$7,000,000",1999
Charlie Ward,"$6,833,000",1999
Maurice Taylor,"$6,800,000",1999
Steve Nash,"$6,781,000",1999
Paul Pierce,"$6,750,000",1999
Bo Outlaw,"$6,675,000",1999
Terry Cummings,"$6,380,000",1999
Kelvin Cato,"$6,300,000",1999
Terry Mills,"$6,300,000",1999
Tony Delk,"$6,142,000",1999
Terry Dehere,"$6,041,000",1999
John Crotty,"$6,000,000",1999
Bonzi Wells,"$6,000,000",1999
Brevin Knight,"$6,000,000",1999
Jermaine O'Neal,"$5,845,000",1999
Michael Doleac,"$5,600,000",1999
Johnny Taylor,"$5,488,000",1999
John Wallace,"$5,360,000",1999
Michael Stewart,"$5,352,000",1999
Jerome Kersey,"$5,333,000",1999
Vernon Maxwell,"$5,280,000",1999
Greg Anthony,"$5,248,000",1999
Gary Grant,"$5,125,088",1999
Chris Morris,"$5,052,223",1999
Joe Kleine,"$5,033,000",1999
Rick Mahorn,"$5,000,000",1999
Harvey Grant,"$5,000,000",1999
George Lynch,"$5,000,000",1999
Dominique Wilkins,"$4,860,000",1999
Danny Schayes,"$4,810,000",1999
Olden Polynice,"$4,725,000",1999
Herb Williams,"$4,666,000",1999
David Wingate,"$4,610,000",1999
Malik Sealy,"$4,480,000",1999
Dell Curry,"$4,400,000",1999
Terry Porter,"$4,373,000",1999
Derek Harper,"$4,370,000",1999
Dennis Rodman,"$4,333,000",1999
Charles Barkley,"$4,266,000",1999
Joe Dumars,"$4,264,000",1999
Keon Clark,"$4,252,000",1999
Gary Trent,"$4,250,000",1999
Johnny Newman,"$4,238,500",1999
Bill Wennington,"$4,200,000",1999
Joe Wolf,"$4,200,000",1999
Scott Burrell,"$4,200,000",1999
Chris Carr,"$4,165,000",1999
Mark West,"$4,060,000",1999
Anthony Johnson,"$4,038,000",1999
Chris Anstey,"$4,030,000",1999
Walter McCarty,"$4,000,000",1999
Dontae' Jones,"$4,000,000",1999
Michael Dickerson,"$4,000,000",1999
Zydrunas Ilgauskas,"$4,000,000",1999
Paul Grant,"$4,000,000",1999
Matt Harpring,"$4,000,000",1999
Tony Massenburg,"$3,887,000",1999
Anthony Parker,"$3,860,000",1999
Randolph Childress,"$3,830,000",1999
Roy Rogers,"$3,780,000",1999
Bryce Drew,"$3,775,000",1999
Thurl Bailey,"$3,750,000",1999
Blue Edwards,"$3,675,000",1999
Jud Buechler,"$3,650,000",1999
Chucky Brown,"$3,644,000",1999
Eric Snow,"$3,640,000",1999
Ed Gray,"$3,600,000",1999
Ben Wallace,"$3,600,000",1999
Don Reid,"$3,600,000",1999
Bobby Jackson,"$3,600,000",1999
Derek Fisher,"$3,537,000",1999
J.R. Reid,"$3,510,000",1999
Radoslav Nesterovic,"$3,500,000",1999
Martin Muursepp,"$3,500,000",1999
George McCloud,"$3,500,000",1999
Cedric Ceballos,"$3,500,000",1999
Pat Garrity,"$3,480,000",1999
