Player,Salary,Year
Eric Piatkowski,"$18,724,000",1996
Ed O'Bannon,"$9,810,000",1996
Greg Graham,"$7,700,000",1996
Hubert Davis,"$7,000,000",1996
Johnny Newman,"$6,881,000",1996
Kurt Thomas,"$6,833,000",1996
Brian Grant,"$6,473,000",1996
Luther Wright,"$5,700,000",1996
Acie Earl,"$5,476,000",1996
James Robinson,"$5,333,000",1996
Joe Kleine,"$5,305,000",1996
Rex Walters,"$5,230,000",1996
Doug Edwards,"$5,150,000",1996
Corie Blount,"$5,000,000",1996
Sam Cassell,"$4,800,000",1996
Chris Mills,"$4,760,000",1996
Scott Burrell,"$4,700,000",1996
Eric Montross,"$4,643,000",1996
Gary Trent,"$4,560,000",1996
Bimbo Coles,"$4,500,000",1996
Jamie Watson,"$4,500,000",1996
Jon Koncak,"$4,320,000",1996
Sam Mitchell,"$4,295,000",1996
Derek Strong,"$4,250,000",1996
Ricky Pierce,"$4,151,000",1996
Eddie Johnson,"$4,050,000",1996
Mark Bryant,"$4,050,000",1996
Bill Wennington,"$3,975,000",1996
Latrell Sprewell,"$3,967,000",1996
Cherokee Parks,"$3,910,000",1996
Tom Hammonds,"$3,898,000",1996
Lee Mayberry,"$3,850,000",1996
Jerry Reynolds,"$3,800,000",1996
PJ Brown,"$3,770,000",1996
Anthony Avent,"$3,765,000",1996
Randy Woods,"$3,750,000",1996
George McCloud,"$3,728,000",1996
Carlos Rogers,"$3,687,000",1996
Don MacLean,"$3,676,000",1996
Corliss Williamson,"$3,650,000",1996
Bill Curley,"$3,588,000",1996
Tony Dumas,"$3,582,000",1996
Haywoode Workman,"$3,560,000",1996
Randy Brown,"$3,551,000",1996
Eric Williams,"$3,532,000",1996
B.J. Tyler,"$3,500,000",1996
Avery Johnson,"$3,475,000",1996
Aaron McKie,"$3,472,000",1996
Wesley Person,"$3,425,000",1996
Monty Williams,"$3,400,000",1996
Kevin Gamble,"$3,333,000",1996
Duane Ferrell,"$3,320,000",1996
Clifford Rozier,"$3,302,000",1996
Dickey Simpkins,"$3,300,000",1996
Brent Barry,"$3,250,000",1996
Brooks Thompson,"$3,250,000",1996
Byron Houston,"$3,233,000",1996
Larry Stewart,"$3,211,000",1996
Antonio Davis,"$3,200,000",1996
Steve Kerr,"$3,200,000",1996
Alan Henderson,"$3,200,000",1996
Roy Tarpley,"$3,163,000",1996
Ervin Johnson,"$3,150,000",1996
Bob Sura,"$3,120,000",1996
Scott Brooks,"$3,100,000",1996
Gary Grant,"$3,088,000",1996
Lucious Harris,"$3,039,000",1996
Charlie Ward,"$3,018,000",1996
Theo Ratliff,"$3,010,000",1996
Keith Jennings,"$3,000,000",1996
Pete Chilcutt,"$3,000,000",1996
Vern Fleming,"$3,000,000",1996
Randolph Childress,"$3,000,000",1996
Zan Tabak,"$2,925,000",1996
Michael Finley,"$2,900,000",1996
Jason Caffey,"$2,863,000",1996
Rafael Addison,"$2,844,000",1996
George Zidek,"$2,837,000",1996
Stacey King,"$2,800,000",1996
Pete Myers,"$2,800,000",1996
Doug Overton,"$2,800,000",1996
Travis Best,"$2,783,000",1996
David Wingate,"$2,763,000",1996
Loren Meyer,"$2,730,000",1996
Tony Massenburg,"$2,683,000",1996
Greg Kite,"$2,676,000",1996
Keith Askins,"$2,658,000",1996
Anthony Miller,"$2,640,000",1996
David Vaughn,"$2,607,000",1996
Jim McIlvaine,"$2,600,000",1996
Mitchell Butler,"$2,600,000",1996
Vincenzo Esposito,"$2,584,000",1996
Tony Smith,"$2,568,000",1996
Sean Higgins,"$2,525,000",1996
Sherell Ford,"$2,525,000",1996
Bo Outlaw,"$2,521,000",1996
Greg Ostertag,"$2,520,000",1996
Cory Alexander,"$2,518,000",1996
Brad Lohaus,"$2,500,000",1996
Greg Anderson,"$2,500,000",1996
Mario Bennett,"$2,500,000",1996
Gerald Glass,"$2,500,000",1996
Doug Smith,"$2,500,000",1996
Darrick Martin,"$2,500,000",1996
Chucky Brown,"$2,478,000",1996
James Edwards,"$2,473,000",1996
Antonio Lang,"$2,423,000",1996
Stefano Rusconi,"$2,416,000",1996
LeRon Ellis,"$2,402,000",1996
Antonio Harvey,"$2,400,000",1996
Rick Mahorn,"$2,400,000",1996
Anthony Bowie,"$2,400,000",1996
Randolph Keys,"$2,400,000",1996
Greg Foster,"$2,400,000",1996
Derrick Alston Sr,"$2,380,000",1996
Darrell Armstrong,"$2,375,000",1996
Stanley Jackson,"$2,372,000",1996
Eric Riley,"$2,300,000",1996
Charles Jones,"$2,287,000",1996
Ryan Lorthridge,"$2,280,000",1996
Dwayne Morton,"$2,245,000",1996
David Wood,"$2,213,000",1996
John Crotty,"$2,200,000",1996
Chris Childs,"$2,200,000",1996
Larry Krystkowiak,"$2,200,000",1996
Greg Minor,"$2,181,000",1996
Andy Toolson,"$2,177,000",1996
Moses Malone,"$2,160,000",1996
Bob McCann,"$2,126,000",1996
James Donaldson,"$2,121,000",1996
Bryon Russell,"$2,100,000",1996
Jimmy King,"$2,075,000",1996
Dave Johnson,"$2,038,000",1996
Eric Leckner,"$2,025,000",1996
Jud Buechler,"$2,004,000",1996
Junior Burrough,"$2,000,000",1996
Alton Lister,"$2,000,000",1996
David Wesley,"$1,987,000",1996
Howard Nathan,"$1,976,000",1996
Lawrence Moten,"$1,964,000",1996
Kevin Pritchard,"$1,963,000",1996
Jon Barry,"$1,950,000",1996
Keith Tower,"$1,950,000",1996
Jerome Kersey,"$1,926,000",1996
Tim Legler,"$1,920,000",1996
Brent Price,"$1,920,000",1996
Tracy Murray,"$1,920,000",1996
Steve Scheffler,"$1,920,000",1996
Damon Bailey,"$1,900,000",1996
Greg Sutton,"$1,900,000",1996
Donnie Boyce,"$1,900,000",1996
Joe Wolf,"$1,860,000",1996
Henry Turner,"$1,855,000",1996
Andrew DeClercq,"$1,853,000",1996
Jeff Webster,"$1,830,000",1996
Mike Peplowski,"$1,810,000",1996
Dell Demps,"$1,800,000",1996
Anthony Cook,"$1,760,000",1996
Dontonio Wingfield,"$1,750,000",1996
Reggie Slater,"$1,747,000",1996
Richard Dumas,"$1,733,000",1996
Jeff Grayer,"$1,702,000",1996
Elmer Bennett,"$1,700,000",1996
Corey Gaines,"$1,700,000",1996
