Player,Salary,Year
Otto Porter,"$45,780,966",2022
Leandro Bolmaro,"$44,310,840",2022
Usman Garuba,"$44,310,840",2022
Willy Hernangomez,"$44,211,146",2022
Edmond Sumner,"$42,018,900",2022
Nassir Little,"$41,180,544",2022
RJ Hampton,"$39,344,970",2022
DeAndre Bembry,"$39,344,900",2022
Josh Christopher,"$39,344,900",2022
Monta Ellis,"$39,344,900",2022
Drew Eubanks,"$37,980,720",2022
Elfrid Payton,"$36,016,200",2022
Rodney Hood,"$35,995,950",2022
Dylan Windler,"$35,500,000",2022
Immanuel Quickley,"$35,361,360",2022
John Konchar,"$35,344,828",2022
Quentin Grimes,"$35,328,700",2022
Jordan Poole,"$34,967,442",2022
Bol Bol,"$33,724,200",2022
Keldon Johnson,"$33,003,936",2022
Payton Pritchard,"$33,003,936",2022
Jahlil Okafor,"$32,405,817",2022
Bones Hyland,"$31,650,600",2022
Raul Neto,"$31,650,600",2022
Frank Kaminsky,"$31,650,600",2022
Nemanja Bjelica,"$31,579,390",2022
Udoka Azubuike,"$31,579,390",2022
Jaden McDaniels,"$31,258,256",2022
Malachi Flynn,"$31,171,333",2022
DeMarcus Cousins,"$31,044,906",2022
Cam Thomas,"$30,864,198",2022
Desmond Bane,"$30,800,000",2022
Jaden Springer,"$30,013,500",2022
Day'Ron Sharpe,"$29,925,000",2022
Abdel Nader,"$29,467,800",2022
Kenrich Williams,"$29,467,800",2022
Theo Maledon,"$28,103,500",2022
Jeremiah Robinson-Earl,"$28,103,500",2022
Jordan McLaughlin,"$28,103,500",2022
Garrison Mathews,"$28,103,500",2022
Santiago Aldama,"$27,000,000",2022
Damian Jones,"$26,984,128",2022
Wesley Matthews,"$26,758,928",2022
Rodney McGruder,"$26,000,000",2022
Timothe Luwawu,"$24,026,712",2022
Moses Brown,"$24,000,000",2022
Wesley Iwundu,"$23,073,234",2022
Jose Alvarado,"$23,000,000",2022
PJ Dozier,"$21,700,000",2022
Damion Lee,"$21,306,816",2022
Killian Tillie,"$21,000,000",2022
Tyrell Terry,"$20,932,143",2022
Larry Sanders,"$20,475,000",2022
Carsen Edwards,"$20,284,091",2022
Shake Milton,"$20,002,500",2022
Mitchell Robinson,"$20,000,000",2022
Jalen Brunson,"$19,800,000",2022
Dennis Smith,"$19,675,926",2022
Malik Monk,"$19,500,000",2022
Semi Ojeleye,"$19,348,907",2022
Frank Ntilikina,"$19,314,284",2022
Tony Bradley,"$18,700,000",2022
Didi Louzada,"$18,604,651",2022
Daniel Gafford,"$18,500,000",2022
Eric Paschall,"$18,218,818",2022
Luguentz Dort,"$18,125,000",2022
Isaiah Roby,"$18,000,000",2022
KZ Okpala,"$18,000,000",2022
Naz Reid,"$17,905,263",2022
Jaylen Nowell,"$17,800,000",2022
Terance Mann,"$17,603,448",2022
Bruno Fernando,"$17,500,000",2022
Kevin Porter,"$17,400,000",2022
Vlatko Cancar,"$17,357,143",2022
Dean Wade,"$17,142,857",2022
Cody Martin,"$17,073,171",2022
Jalen McDaniels,"$16,500,000",2022
Nicolas Claxton,"$16,409,091",2022
Yuta Watanabe,"$16,225,000",2022
Chimezie Metu,"$16,071,429",2022
Armoni Brooks,"$16,000,000",2022
Isaac Bonga,"$15,690,909",2022
Sviatoslav Mykhailiuk,"$15,678,571",2022
Keita Bates-Diop,"$15,650,000",2022
Moritz Wagner,"$15,627,907",2022
Thanasis Antetokounmpo,"$15,625,000",2022
Isaiah Hartenstein,"$15,517,242",2022
Oshae Brissett,"$15,428,880",2022
Juan Toscano-Anderson,"$14,491,964",2022
Herb Jones,"$14,320,987",2022
Gabriel Deck,"$14,190,000",2022
Gabe Vincent,"$14,000,000",2022
Max Strus,"$13,839,285",2022
Gary Payton II,"$13,750,000",2022
Javonte Green,"$13,666,667",2022
Matt Thomas,"$13,445,120",2022
Robert Woodard,"$13,347,727",2022
Lance Stephenson,"$13,334,375",2022
Daniel Oturu,"$13,302,325",2022
Deividas Sirvydis,"$13,038,862",2022
Kevin Pangos,"$13,036,364",2022
Bismack Biyombo,"$13,000,000",2022
Vernon Carey,"$12,975,471",2022
Anthony Gill,"$12,940,000",2022
Tre Jones,"$12,632,950",2022
Jahmi'us Ramsey,"$12,500,000",2022
CJ Elleby,"$12,420,000",2022
Elijah Hughes,"$12,200,000",2022
Isaiah Joe,"$12,195,122",2022
Paul Reed,"$12,026,998",2022
Naji Marshall,"$12,000,000",2022
Jordan Nwora,"$12,000,000",2022
Xavier Tillman,"$12,000,000",2022
Sam Merrill,"$11,615,328",2022
Jae'Sean Tate,"$11,312,114",2022
KJ Martin,"$11,109,327",2022
Lamar Stevens,"$11,080,125",2022
Nick Richards,"$11,000,000",2022
Isaiah Todd,"$10,733,400",2022
Omer Yurtseven,"$10,690,909",2022
Saben Lee,"$10,500,000",2022
JR Smith,"$10,384,500",2022
Stanley Johnson,"$10,384,500",2022
Duane Washington Jr,"$10,335,621",2022
Aaron Wiggins,"$10,245,480",2022
Marquese Chriss,"$10,174,391",2022
JT Thor,"$10,050,120",2022
DeMarre Carroll,"$10,000,000",2022
Jabari Parker,"$10,000,000",2022
Alfonzo McKinnie,"$9,946,611",2022
Zhaire Smith,"$9,937,150",2022
Jason Preston,"$9,720,900",2022
Isaiah Livers,"$9,720,900",2022
Denzel Valentine,"$9,720,900",2022
Alize Johnson,"$9,720,900",2022
Kyle Singler,"$9,720,900",2022
Kelan Martin,"$9,603,360",2022
Miye Oni,"$9,536,000",2022
Jared Butler,"$9,536,000",2022
Dalano Banton,"$9,500,000",2022
Jock Landale,"$9,248,333",2022
Greg Brown,"$9,180,560",2022
Charles Bassey,"$9,166,800",2022
Vit Krejci,"$8,992,080",2022
Miles McBride,"$8,805,976",2022
Austin Reaves,"$8,800,000",2022
BJ Boston,"$8,800,000",2022
Luka Garza,"$8,750,000",2022
Marko Simonovic,"$8,750,000",2022
Ayo Dosunmu,"$8,666,667",2022
Daishen Nix,"$8,623,920",2022
