Player,Salary,Year
Dave Greenwood,"$4,250,000",1991
Duane Causwell,"$3,785,000",1991
Sedale Threatt,"$3,175,000",1991
Jay Humphries,"$2,900,000",1991
Dave Jamerson,"$2,850,000",1991
Alexander Volkov,"$2,720,000",1991
Chucky Brown,"$2,640,000",1991
Pooh Richardson,"$2,500,000",1991
Mychal Thompson,"$2,500,000",1991
Darrell Walker,"$2,406,000",1991
Antoine Carr,"$2,400,000",1991
Ledell Eackles,"$2,330,000",1991
Larry Krystkowiak,"$2,300,000",1991
Jeff Grayer,"$2,265,000",1991
Andrew Lang,"$2,260,000",1991
Olden Polynice,"$2,250,000",1991
Brad Davis,"$2,200,000",1991
Craig Hodges,"$2,185,000",1991
Terry Mills,"$2,150,000",1991
Tod Murphy,"$2,100,000",1991
John Battle,"$2,065,000",1991
Gerald Glass,"$2,060,000",1991
Elden Campbell,"$2,000,000",1991
John Salley,"$2,000,000",1991
Jerrod Mustaf,"$2,000,000",1991
Todd Lichti,"$2,000,000",1991
Bob Hansen,"$2,000,000",1991
Jerome Kersey,"$2,000,000",1991
Ed Nealy,"$1,970,000",1991
Terry Teagle,"$1,860,000",1991
Larry Drew,"$1,800,000",1991
John Bagley,"$1,785,000",1991
Steve Kerr,"$1,760,000",1991
Dee Brown,"$1,750,000",1991
Gary Grant,"$1,750,000",1991
Winston Bennett,"$1,750,000",1991
Derrick Chievous,"$1,710,000",1991
Mookie Blaylock,"$1,700,000",1991
Michael Smith,"$1,685,000",1991
Dwayne Schintzius,"$1,660,000",1991
Bill Hanzlik,"$1,650,000",1991
Spud Webb,"$1,650,000",1991
Sidney Moncrief,"$1,600,000",1991
Les Jepsen,"$1,600,000",1991
Mark Alarie,"$1,600,000",1991
Jayson Williams,"$1,600,000",1991
Dana Barros,"$1,560,000",1991
Sam Mitchell,"$1,550,000",1991
Randy Wittman,"$1,550,000",1991
Rod Higgins,"$1,550,000",1991
Tim Hardaway,"$1,519,000",1991
Jerome Lane,"$1,519,000",1991
Eric Leckner,"$1,510,000",1991
Greg Kite,"$1,500,000",1991
Harvey Grant,"$1,500,000",1991
Negele Knight,"$1,500,000",1991
Brian Oliver,"$1,500,000",1991
Danny Young,"$1,500,000",1991
Otis Smith,"$1,400,000",1991
Jerry Reynolds,"$1,400,000",1991
Winston Garland,"$1,400,000",1991
Scott Hastings,"$1,400,000",1991
Will Perdue,"$1,400,000",1991
Mark Acres,"$1,365,000",1991
Dan Majerle,"$1,365,000",1991
Ron Anderson,"$1,350,000",1991
Quintin Dailey,"$1,330,000",1991
Kevin Edwards,"$1,320,000",1991
BJ Armstrong,"$1,300,000",1991
Jeff Turner,"$1,275,000",1991
Tate George,"$1,270,000",1991
Scott Skiles,"$1,260,000",1991
Mark Bryant,"$1,250,000",1991
Tom Tolbert,"$1,250,000",1991
Rod Strickland,"$1,250,000",1991
Kenny Payne,"$1,235,000",1991
Dave Hoppen,"$1,212,000",1991
Eddie Lee Wilkins,"$1,200,000",1991
Adrian Dantley,"$1,200,000",1991
Billy Thompson,"$1,200,000",1991
Ken Bannister,"$1,200,000",1991
Reggie Lewis,"$1,180,000",1991
Alaa Abdelnaby,"$1,160,000",1991
John Paxson,"$1,150,000",1991
Byron Irvin,"$1,115,000",1991
Kevin Gamble,"$1,100,000",1991
Anthony Cook,"$1,100,000",1991
Lance Blanks,"$1,100,000",1991
Blue Edwards,"$1,100,000",1991
Brian Quinnett,"$1,100,000",1991
Jack Haley,"$1,085,000",1991
Kenny Gattison,"$1,070,000",1991
Joe Barry Carroll,"$1,050,000",1991
Shawn Kemp,"$1,050,000",1991
Kenny Battle,"$1,035,000",1991
John Morton,"$1,025,000",1991
Morlon Wiley,"$1,000,000",1991
Tom Garrick,"$1,000,000",1991
Bob Thornton,"$1,000,000",1991
Jon Sundvold,"$1,000,000",1991
Sherman Douglas,"$1,000,000",1991
Mike Smrek,"$1,000,000",1991
Micheal Williams,"$1,000,000",1991
Randolph Keys,"$1,000,000",1991
Derek Smith,"$1,000,000",1991
Steve Colter,"$1,000,000",1991
Rory Sparrow,"$1,000,000",1991
Scott Meents,"$990,000",1991
Dave Corzine,"$985,000",1991
Greg Grant,"$980,000",1991
Grant Long,"$962,000",1991
Greg Dreiling,"$950,000",1991
David Wood,"$950,000",1991
Scott Brooks,"$940,000",1991
Bimbo Coles,"$935,000",1991
Greg Foster,"$930,000",1991
A.J. English,"$925,000",1991
Dave Feitl,"$915,000",1991
Adrian Caldwell,"$915,000",1991
Cliff Robinson,"$910,000",1991
Terry Davis,"$905,000",1991
Vernon Maxwell,"$900,000",1991
Steve Alford,"$900,000",1991
Doug West,"$900,000",1991
Walter Palmer,"$900,000",1991
Frank Kornet,"$900,000",1991
Jud Buechler,"$895,000",1991
Stojko Vrankovic,"$880,000",1991
Delaney Rudd,"$880,000",1991
Jeff Martin,"$875,000",1991
Marcus Liberty,"$875,000",1991
Michael Ansley,"$870,000",1991
Milos Babic,"$850,000",1991
Steve Scheffler,"$850,000",1991
Gary Leonard,"$850,000",1991
Kevin Pritchard,"$850,000",1991
Cedric Ceballos,"$837,000",1991
Kenny Williams,"$835,000",1991
Derrick Gervin,"$830,000",1991
Tony Massenburg,"$825,000",1991
Sean Higgins,"$825,000",1991
Richard Coffey,"$805,000",1991
Keith Askins,"$805,000",1991
John Long,"$800,000",1991
John Shasky,"$800,000",1991
Scott Williams,"$800,000",1991
Ian Lockhart,"$800,000",1991
Alan Ogg,"$800,000",1991
Rick Calloway,"$775,000",1991
Gerald Henderson,"$770,000",1991
Duane Ferrell,"$765,000",1991
Haywoode Workman,"$765,000",1991
Andy Toolson,"$765,000",1991
Rickey Green,"$760,000",1991
John Starks,"$755,000",1991
Steve Henson,"$750,000",1991
Irving Thomas,"$750,000",1991
Tony Smith,"$750,000",1991
Kennard Winchester,"$750,000",1991
Matt Bullard,"$730,000",1991
Gerald Paddio,"$725,000",1991
Kurk Lee,"$725,000",1991
Jim Grandholm,"$725,000",1991
Andre Turner,"$725,000",1991
Paul Mokeski,"$700,000",1991
Darnell Valentine,"$700,000",1991
Dave Popson,"$690,000",1991
Henry James,"$685,000",1991
Scott Haffner,"$675,000",1991
Tony Brown,"$675,000",1991
Alan Bannister,"$675,000",1991
Avery Johnson,"$675,000",1991
Mario Elie,"$667,000",1991
Anthony Frederick,"$658,000",1991
