Player,Salary,Year
Seth Curry,"$30,963,450",2017
Tomas Satoransky,"$26,540,100",2017
Tibor Pleiss,"$26,540,100",2017
Noah Vonleh,"$26,540,100",2017
Frank Kaminsky,"$26,540,100",2017
Dennis Schroeder,"$26,540,100",2017
Jakob Poeltl,"$26,540,100",2017
Aaron Brooks,"$25,000,000",2017
Elfrid Payton,"$24,559,380",2017
Justise Winslow,"$24,328,425",2017
Thon Maker,"$23,741,060",2017
Martell Webster,"$23,500,000",2017
Richard Jefferson,"$23,200,000",2017
Randy Foye,"$22,868,827",2017
Malcolm Delaney,"$22,116,750",2017
Doug McDermott,"$22,116,750",2017
Domantas Sabonis,"$22,116,750",2017
Shelvin Mack,"$22,116,750",2017
Myles Turner,"$22,116,750",2017
Tony Snell,"$22,116,750",2017
Archie Goodwin,"$21,323,252",2017
Gorgui Dieng,"$21,165,675",2017
Trey Lyles,"$21,165,675",2017
Mason Plumlee,"$21,165,675",2017
Dario Saric,"$21,165,675",2017
Taurean Prince,"$20,869,566",2017
Tim Hardaway Jr,"$20,575,005",2017
Reggie Bullock,"$20,093,064",2017
Alonzo Gee,"$20,072,033",2017
Zach LaVine,"$18,735,364",2017
Devin Booker,"$18,500,000",2017
Luc Mbah a Moute,"$18,100,000",2017
Georgios Papagiannis,"$18,000,000",2017
Maurice Williams,"$17,638,063",2017
Andre Roberson,"$17,638,063",2017
TJ Warren,"$17,552,209",2017
Rudy Gobert,"$17,200,000",2017
Cameron Payne,"$17,145,838",2017
Joe Ingles,"$17,145,838",2017
Denzel Valentine,"$17,145,838",2017
Tim Frazier,"$17,000,000",2017
Adreian Payne,"$17,000,000",2017
Kelly Oubre,"$17,000,000",2017
Juan Hernangomez,"$16,663,575",2017
Lucas Nogueira,"$16,393,443",2017
Jusuf Nurkic,"$16,073,140",2017
Terry Rozier,"$16,000,000",2017
James Young,"$16,000,000",2017
Rashad Vaughn,"$15,891,725",2017
Kevin Seraphin,"$15,756,438",2017
Wade Baldwin,"$15,756,438",2017
Tyler Ennis,"$15,730,337",2017
Sam Dekker,"$15,500,000",2017
Joffrey Lauvergne,"$15,330,435",2017
Henry Ellenson,"$15,330,435",2017
Gary Harris,"$15,200,000",2017
Jerian Grant,"$15,050,000",2017
Malik Beasley,"$15,000,000",2017
RJ Hunter,"$14,956,522",2017
Bruno Caboclo,"$14,885,520",2017
Delon Wright,"$14,445,313",2017
Jarrett Jack,"$14,382,023",2017
Caris LeVert,"$14,200,000",2017
David Lee,"$14,000,000",2017
Caron Butler,"$14,000,000",2017
Steve Novak,"$14,000,000",2017
Jason Terry,"$13,400,000",2017
Metta World Peace,"$13,333,333",2017
Brandon Bass,"$13,253,012",2017
Raymond Felton,"$13,219,250",2017
David West,"$13,000,000",2017
James Jones,"$12,800,000",2017
Chris Andersen,"$12,606,250",2017
Mitch McGary,"$12,500,000",2017
Justin Anderson,"$12,500,000",2017
Marcelo Huertas,"$12,415,000",2017
DeAndre Bembry,"$12,400,000",2017
Jordan Adams,"$12,385,665",2017
Demetrius Jackson,"$12,267,606",2017
Malachi Richardson,"$12,250,000",2017
Sasha Vujacic,"$12,250,000",2017
Gerald Green,"$12,112,359",2017
Rodney Hood,"$12,100,000",2017
Bobby Portis,"$12,078,652",2017
Michael Beasley,"$12,078,652",2017
Marreese Speights,"$12,000,000",2017
JaVale McGee,"$12,000,000",2017
Rondae Hollis-Jefferson,"$12,000,000",2017
Willy Hernangomez,"$12,000,000",2017
Deyonta Davis,"$11,750,000",2017
Nikola Jokic,"$11,709,603",2017
Shabazz Napier,"$11,483,254",2017
Tyus Jones,"$11,410,378",2017
Sasha Kaun,"$11,242,000",2017
Timothe Luwawu,"$11,233,146",2017
Marcus Thornton,"$11,131,368",2017
Ty Lawson,"$11,050,000",2017
Alan Anderson,"$11,000,000",2017
Clint Capela,"$11,000,000",2017
Jarell Martin,"$11,000,000",2017
Brice Johnson,"$10,991,957",2017
Luke Babbitt,"$10,851,659",2017
Jeremy Evans,"$10,763,500",2017
Jordan Mickey,"$10,500,000",2017
CJ Wilcox,"$10,470,000",2017
Larry Nance Jr,"$10,230,179",2017
Terrence Jones,"$10,203,755",2017
Pascal Siakam,"$10,000,000",2017
Kyle Anderson,"$10,000,000",2017
Chris McCullough,"$10,000,000",2017
Josh Huestis,"$9,904,495",2017
Livio Jean-Charles,"$9,904,494",2017
Skal Labissiere,"$9,662,922",2017
Kevon Looney,"$9,607,500",2017
Dejounte Murray,"$9,424,084",2017
Damian Jones,"$9,250,000",2017
Hollis Thompson,"$9,213,484",2017
Isaiah Whitehead,"$9,000,000",2017
Rakeem Christmas,"$8,988,764",2017
Joseph Young,"$8,950,000",2017
John Jenkins,"$8,801,363",2017
Thomas Robinson,"$8,630,000",2017
Pablo Prigioni,"$8,400,000",2017
Brian Roberts,"$8,375,000",2017
Glenn Robinson III,"$8,269,663",2017
Montrezl Harrell,"$8,250,000",2017
Ivica Zubac,"$8,070,175",2017
Richaun Holmes,"$8,046,500",2017
Anthony Brown,"$8,000,000",2017
Jeff Withey,"$8,000,000",2017
Robert Covington,"$8,000,000",2017
Justin Holiday,"$8,000,000",2017
Ian Clark,"$8,000,000",2017
Isaiah Canaan,"$8,000,000",2017
Anthony Bennett,"$7,806,971",2017
Mike Muscala,"$7,800,000",2017
DeAndre Liggins,"$7,708,427",2017
Walter Tavares,"$7,680,965",2017
Damjan Rudez,"$7,643,979",2017
Jerami Grant,"$7,612,172",2017
Louis Amundson,"$7,400,000",2017
JaMychal Green,"$7,400,000",2017
James Michael McAdoo,"$7,377,500",2017
Beno Udrih,"$7,315,000",2017
Nick Johnson,"$7,250,000",2017
Sean Kilpatrick,"$7,000,000",2017
Joe Harris,"$7,000,000",2017
Elton Brand,"$7,000,000",2017
Axel Toupane,"$7,000,000",2017
Stephen Zimmerman,"$6,800,000",2017
Andrew Harrison,"$6,750,000",2017
Bobby Brown,"$6,666,667",2017
Tyler Ulis,"$6,587,131",2017
Jason Thompson,"$6,552,960",2017
Raul Neto,"$6,540,000",2017
Malcolm Brogdon,"$6,508,351",2017
Norman Powell,"$6,500,000",2017
Jonathon Simmons,"$6,333,333",2017
Pat Connaughton,"$6,286,408",2017
Alan Williams,"$6,191,000",2017
TJ McConnell,"$6,191,000",2017
Josh Richardson,"$6,088,993",2017
Darrun Hilliard,"$6,050,000",2017
Salah Mejri,"$6,006,600",2017
Jordan McRae,"$6,000,000",2017
Cristiano Felicio,"$6,000,000",2017
Christian Wood,"$6,000,000",2017
Paul Zipser,"$6,000,000",2017
Spencer Dinwiddie,"$5,994,764",2017
Ryan Kelly,"$5,960,160",2017
Jonathan Gibson,"$5,903,160",2017
Joel Anthony,"$5,893,981",2017
Troy Williams,"$5,782,450",2017
Georges Niang,"$5,782,450",2017
Michael Gbinije,"$5,782,450",2017
AJ Hammons,"$5,782,450",2017
Briante Weber,"$5,709,880",2017
Donatas Motiejunas,"$5,643,750",2017
Joel Bolomboy,"$5,628,000",2017
Jake Layman,"$5,628,000",2017
John Lucas,"$5,628,000",2017
Gary Payton II,"$5,628,000",2017
Toney Douglas,"$5,587,318",2017
Danuel House,"$5,443,918",2017
Sheldon Mac,"$5,374,320",2017
Daniel Ochefu,"$5,371,672",2017
Fred VanVleet,"$5,332,800",2017
Bryn Forbes,"$5,331,729",2017
Davis Bertans,"$5,318,313",2017
Tim Quarterman,"$5,300,000",2017
Derrick Jones,"$5,281,680",2017
Semaj Christon,"$5,239,437",2017
