Player,Salary,Year
Jackie Butler,"$21,000,000",2007
Scot Pollard,"$20,000,000",2007
Othella Harrington,"$19,030,999",2007
Zarko Cabarkapa,"$18,261,024",2007
Ike Diogu,"$18,084,000",2007
Luke Jackson,"$18,084,000",2007
Bonzi Wells,"$17,718,750",2007
Patrick O'Bryant,"$17,429,672",2007
David West,"$17,184,375",2007
Andrew Bynum,"$17,184,375",2007
Matt Bonner,"$16,901,500",2007
Jake Voskuhl,"$16,901,500",2007
DeSagana Diop,"$16,786,950",2007
Andris Biedrins,"$16,141,500",2007
Devean George,"$16,000,000",2007
Tariq Abdul-Wahad,"$15,395,472",2007
Aleksandar Pavlovic,"$15,101,625",2007
Saer Sene,"$15,101,625",2007
Jason Hart,"$15,101,625",2007
Maurice Williams,"$15,101,625",2007
Robert Swift,"$15,070,000",2007
Dahntay Jones,"$15,070,000",2007
Boris Diaw,"$15,070,000",2007
JJ Redick,"$14,611,570",2007
Travis Outlaw,"$14,248,000",2007
Yaroslav Korolev,"$13,363,012",2007
Brian Cook,"$13,260,000",2007
Michael Ruffin,"$12,744,189",2007
Malik Allen,"$12,500,000",2007
Vassilis Spanoulis,"$12,455,000",2007
Walter Herrmann,"$12,455,000",2007
Sebastian Telfair,"$12,364,000",2007
Hilton Armstrong,"$12,364,000",2007
Shammond Williams,"$12,348,596",2007
Aaron Williams,"$12,068,182",2007
Ronald Murray,"$12,000,000",2007
David Wesley,"$11,775,000",2007
Sean May,"$11,666,666",2007
Kris Humphries,"$11,650,000",2007
Kendrick Perkins,"$11,532,037",2007
Leandro Barbosa,"$11,260,483",2007
Thabo Sefolosha,"$11,200,000",2007
Josh Howard,"$11,096,800",2007
Rashad McCants,"$11,043,897",2007
Didier Ilunga-Mbenga,"$10,800,000",2007
Maurice Evans,"$10,500,000",2007
Al Jefferson,"$9,999,999",2007
Clifford Robinson,"$9,628,000",2007
Ronnie Brewer,"$9,625,000",2007
Antoine Wright,"$9,464,307",2007
Kirk Snyder,"$9,450,000",2007
Cedric Simmons,"$9,442,697",2007
Scott Padgett,"$9,350,649",2007
Joey Graham,"$9,296,874",2007
Adrian Griffin,"$9,187,500",2007
Josh Smith,"$9,150,000",2007
Rodney Carney,"$8,800,000",2007
Danny Granger,"$8,733,333",2007
Eddie House,"$8,640,000",2007
JR Smith,"$8,565,918",2007
Luke Walton,"$8,560,000",2007
Shawne Williams,"$8,433,334",2007
Keith McLeod,"$8,287,500",2007
Gerald Green,"$8,285,714",2007
Steve Blake,"$8,254,375",2007
Dorell Wright,"$8,250,000",2007
Justin Reed,"$8,250,000",2007
Hakim Warrick,"$8,171,103",2007
Jameer Nelson,"$8,125,000",2007
Quincy Douby,"$8,125,000",2007
Julius Hodge,"$8,100,000",2007
Renaldo Balkman,"$8,070,874",2007
Jason Kapono,"$8,037,037",2007
Matt Carroll,"$8,000,000",2007
Nate Robinson,"$7,851,240",2007
Alan Henderson,"$7,821,482",2007
Darrick Martin,"$7,750,000",2007
Eric Piatkowski,"$7,628,858",2007
Bo Outlaw,"$7,625,000",2007
Gary Payton,"$7,623,813",2007
Darrell Armstrong,"$7,606,820",2007
Viktor Khryapa,"$7,526,316",2007
Rajon Rondo,"$7,525,500",2007
Jarrett Jack,"$7,525,397",2007
Michael Olowokandi,"$7,438,016",2007
Marcus Williams,"$7,438,000",2007
Francisco Garcia,"$7,300,000",2007
Nenad Krstic,"$7,288,165",2007
Delonte West,"$7,280,000",2007
John Edwards,"$7,244,726",2007
Jacque Vaughn,"$7,200,000",2007
Kelvin Cato,"$7,187,500",2007
Mikki Moore,"$7,014,400",2007
Devin Brown,"$7,000,000",2007
Josh Boone,"$6,854,546",2007
Luther Head,"$6,850,000",2007
Carlos Delfino,"$6,807,000",2007
Tony Allen,"$6,807,000",2007
Kyle Lowry,"$6,725,433",2007
Johan Petro,"$6,645,402",2007
Kevin Martin,"$6,596,990",2007
Shavlik Randolph,"$6,500,000",2007
Jannero Pargo,"$6,500,000",2007
Bernard Robinson,"$6,392,100",2007
Jumaine Jones,"$6,392,100",2007
Ryan Bowen,"$6,364,400",2007
Sasha Vujacic,"$6,364,400",2007
