Player,Salary,Year
TJ Ford,"$28,000,000",2004
Hidayet Turkoglu,"$24,749,999",2004
Rodney White,"$17,714,291",2004
Marko Jaric,"$17,000,000",2004
Amare Stoudemire,"$15,937,500",2004
Desmond Mason,"$15,937,500",2004
Joe Johnson,"$14,941,935",2004
Mike Sweetney,"$13,500,000",2004
Quentin Richardson,"$13,500,000",2004
Caron Butler,"$13,500,000",2004
Nate Huffman,"$13,500,000",2004
Kedrick Brown,"$13,500,000",2004
Jarvis Hayes,"$13,500,000",2004
Jamaal Magloire,"$13,500,000",2004
Jared Jeffries,"$13,500,000",2004
Samaki Walker,"$13,500,000",2004
Corie Blount,"$13,500,000",2004
Vladimir Radmanovic,"$13,500,000",2004
Morris Peterson,"$13,281,250",2004
Melvin Ely,"$13,279,750",2004
DeShawn Stevenson,"$13,279,750",2004
Jerome Moiso,"$13,279,750",2004
Cezary Trybanski,"$13,279,750",2004
Dalibor Bagaric,"$13,152,000",2004
Richard Jefferson,"$13,152,000",2004
Iakovos Tsakalidis,"$12,925,000",2004
Nick Collison,"$12,676,125",2004
Marcus Haislip,"$12,375,000",2004
Gordan Giricek,"$12,333,750",2004
Michael Doleac,"$12,130,648",2004
Stanislav Medvedenko,"$12,051,510",2004
Mickael Pietrus,"$11,956,625",2004
Malik Allen,"$11,825,000",2004
Troy Murphy,"$11,670,000",2004
Fred Jones,"$11,326,219",2004
Jake Voskuhl,"$11,326,219",2004
Tyronn Lue,"$11,326,219",2004
Erick Strickland,"$11,326,219",2004
Brian Skinner,"$11,100,000",2004
Karl Malone,"$10,960,000",2004
Mark Jackson,"$10,960,000",2004
Jumaine Jones,"$10,960,000",2004
Marcus Banks,"$10,960,000",2004
Manu Ginobili,"$10,730,000",2004
Steven Hunter,"$10,156,250",2004
Luke Ridnour,"$9,963,596",2004
Bostjan Nachbar,"$9,500,000",2004
Kirk Haston,"$9,266,666",2004
Reece Gaines,"$9,061,875",2004
Earl Watson,"$9,056,250",2004
Jiri Welsch,"$8,666,666",2004
Bryce Drew,"$8,536,000",2004
Michael Bradley,"$8,525,000",2004
Troy Bell,"$8,333,333",2004
Juan Dixon,"$8,178,750",2004
Jarron Collins,"$8,000,000",2004
Ryan Bowen,"$8,000,000",2004
Jason Collins,"$8,000,000",2004
Zarko Cabarkapa,"$7,885,000",2004
Daniel Santiago,"$7,842,000",2004
Voshon Lenard,"$7,800,000",2004
Walter McCarty,"$7,794,000",2004
Curtis Borchardt,"$7,700,000",2004
Zach Randolph,"$7,682,188",2004
Chris Childs,"$7,610,000",2004
David West,"$7,344,000",2004
Ryan Humphrey,"$7,250,000",2004
Jeryl Sasser,"$7,012,987",2004
Brendan Haywood,"$7,000,000",2004
Aleksandar Pavlovic,"$7,000,000",2004
Mehmet Okur,"$7,000,000",2004
Kareem Rush,"$6,906,250",2004
Joseph Forte,"$6,900,000",2004
Chris Whitney,"$6,750,000",2004
Kevin Willis,"$6,700,000",2004
Tony Massenburg,"$6,600,000",2004
Anthony Peeler,"$6,600,000",2004
Scott Williams,"$6,585,000",2004
Steve Smith,"$6,500,000",2004
Sean Rooks,"$6,326,923",2004
