Player,Salary,Year
Bryant Stith,"$5,740,000",1994
Kevin Gamble,"$5,050,000",1994
Tyrone Hill,"$4,886,000",1994
Jerrod Mustaf,"$4,133,000",1994
Terry Dehere,"$4,000,000",1994
Clarence Weatherspoon,"$4,000,000",1994
Dell Curry,"$4,000,000",1994
Toni Kukoc,"$3,900,000",1994
Dee Brown,"$3,825,000",1994
Duane Ferrell,"$3,587,000",1994
Malik Sealy,"$3,575,000",1994
Willie Burton,"$3,543,000",1994
Mark West,"$3,541,000",1994
Thurl Bailey,"$3,500,000",1994
Carl Herrera,"$3,440,000",1994
Greg Kite,"$3,340,000",1994
Kevin Brooks,"$3,250,000",1994
Brad Lohaus,"$3,250,000",1994
Jayson Williams,"$3,200,000",1994
Tracy Murray,"$3,170,000",1994
LaBradford Smith,"$3,125,000",1994
Alec Kessler,"$3,120,000",1994
Randy White,"$3,081,000",1994
Dwayne Schintzius,"$3,075,000",1994
Anthony Peeler,"$3,057,000",1994
Lindsey Hunter,"$3,011,000",1994
Anthony Bowie,"$3,000,000",1994
Muggsy Bogues,"$2,975,000",1994
Donald Royal,"$2,940,000",1994
Vin Baker,"$2,925,000",1994
Nate McMillan,"$2,900,000",1994
Tim McCormick,"$2,850,000",1994
Olden Polynice,"$2,844,000",1994
Donald Hodge,"$2,841,000",1994
Terrell Brandon,"$2,840,000",1994
Scott Haskin,"$2,820,000",1994
Stojko Vrankovic,"$2,785,000",1994
David Benoit,"$2,730,000",1994
Alaa Abdelnaby,"$2,700,000",1994
Bimbo Coles,"$2,670,000",1994
Eric Murdock,"$2,625,000",1994
Tony Smith,"$2,557,000",1994
Tom Hammonds,"$2,520,000",1994
John Paxson,"$2,500,000",1994
Chris Dudley,"$2,500,000",1994
Mario Elie,"$2,500,000",1994
Dave Jamerson,"$2,500,000",1994
Hubert Davis,"$2,457,000",1994
Pete Chilcutt,"$2,452,000",1994
Rick Fox,"$2,450,000",1994
Dana Barros,"$2,429,000",1994
Shawn Kemp,"$2,418,000",1994
Allan Houston,"$2,414,000",1994
Buck Johnson,"$2,407,000",1994
Sam Mitchell,"$2,400,000",1994
Jeff Grayer,"$2,400,000",1994
Greg Graham,"$2,400,000",1994
Rich King,"$2,400,000",1994
Latrell Sprewell,"$2,383,000",1994
Dale Davis,"$2,380,000",1994
Oliver Miller,"$2,350,000",1994
Lee Mayberry,"$2,336,000",1994
Luther Wright,"$2,333,000",1994
James Robinson,"$2,313,000",1994
Dave Johnson,"$2,300,000",1994
Tim Kempton,"$2,300,000",1994
Joe Kleine,"$2,300,000",1994
Anthony Avent,"$2,278,000",1994
Anthony Bonner,"$2,252,000",1994
Jon Barry,"$2,203,000",1994
Anthony Cook,"$2,156,000",1994
Manute Bol,"$2,150,000",1994
Tom Tolbert,"$2,145,000",1994
Randy Woods,"$2,100,000",1994
Byron Scott,"$2,100,000",1994
Sam Cassell,"$2,075,000",1994
Matt Bullard,"$2,075,000",1994
Marcus Liberty,"$2,033,000",1994
Greg Anderson,"$2,004,000",1994
Chris Mills,"$2,002,000",1994
Scott Burrell,"$2,000,000",1994
Rick Mahorn,"$2,000,000",1994
Rex Walters,"$2,000,000",1994
Acie Earl,"$2,000,000",1994
Doug Edwards,"$2,000,000",1994
Larry Krystkowiak,"$2,000,000",1994
Scott Williams,"$2,000,000",1994
Tate George,"$1,995,000",1994
BJ Armstrong,"$1,950,000",1994
Corie Blount,"$1,950,000",1994
Ervin Johnson,"$1,946,000",1994
Don MacLean,"$1,927,000",1994
Larry Stewart,"$1,900,000",1994
Byron Houston,"$1,885,000",1994
PJ Brown,"$1,850,000",1994
John Bagley,"$1,850,000",1994
Paul Graham,"$1,850,000",1994
Randy Brown,"$1,825,000",1994
Kurt Rambis,"$1,818,000",1994
David Wingate,"$1,807,000",1994
Elmore Spencer,"$1,800,000",1994
Todd Lichti,"$1,800,000",1994
Antonio Davis,"$1,785,000",1994
Malcolm Mackey,"$1,750,000",1994
Scott Brooks,"$1,743,000",1994
Les Jepsen,"$1,723,000",1994
Gheorghe Muresan,"$1,722,000",1994
Doug Overton,"$1,700,000",1994
Frank Johnson,"$1,694,000",1994
Negele Knight,"$1,692,000",1994
David Wood,"$1,690,000",1994
Sean Rooks,"$1,682,000",1994
Gerald Madkins,"$1,658,000",1994
Brian Oliver,"$1,650,000",1994
Isaac Austin,"$1,650,000",1994
Derek Strong,"$1,630,000",1994
Kenny Walker,"$1,625,000",1994
Sean Green,"$1,621,000",1994
Robert Pack,"$1,616,000",1994
Jack Haley,"$1,616,000",1994
Marlon Maxey,"$1,614,000",1994
Kenny Williams,"$1,600,000",1994
Jud Buechler,"$1,600,000",1994
Jim Les,"$1,600,000",1994
Reggie Smith,"$1,590,000",1994
Lucious Harris,"$1,581,000",1994
Kevin Lynch,"$1,578,000",1994
Haywoode Workman,"$1,567,000",1994
Keith Askins,"$1,560,000",1994
Bobby Phills,"$1,560,000",1994
Ron Anderson,"$1,550,000",1994
Eric Leckner,"$1,521,000",1994
Gundars Vetra,"$1,513,000",1994
Avery Johnson,"$1,512,000",1994
Greg Dreiling,"$1,502,000",1994
A.J. English,"$1,500,000",1994
Brent Price,"$1,498,000",1994
Popeye Jones,"$1,470,000",1994
Chris Smith,"$1,445,000",1994
Marty Conlon,"$1,445,000",1994
Litterial Green,"$1,435,000",1994
Eric Anderson,"$1,424,000",1994
Matt Geiger,"$1,410,000",1994
Andre Spencer,"$1,408,000",1994
Keith Jennings,"$1,400,000",1994
Robert Werdann,"$1,400,000",1994
Tim Legler,"$1,386,000",1994
Jay Guidinger,"$1,375,000",1994
Lorenzo Williams,"$1,353,000",1994
Steve Henson,"$1,333,000",1994
Greg Foster,"$1,309,000",1994
