Player,Salary,Year
Danilo Gallinari,"$24,751,934",2009
Didier Ilunga-Mbenga,"$21,372,000",2009
Randy Foye,"$21,372,000",2009
Andrew Bynum,"$21,262,500",2009
Andray Blatche,"$21,000,000",2009
Corey Brewer,"$20,840,625",2009
Sean May,"$20,840,625",2009
Eddie House,"$20,598,704",2009
Mark Madsen,"$20,370,437",2009
Eric Gordon,"$19,816,550",2009
Rashad McCants,"$18,388,430",2009
Dorell Wright,"$18,077,904",2009
Rudy Gay,"$18,077,903",2009
Keith Bogans,"$17,810,000",2009
Jackie Butler,"$16,447,871",2009
Michael Finley,"$15,780,000",2009
Craig Smith,"$15,106,000",2009
Chris Mihm,"$15,106,000",2009
Tony Allen,"$15,070,550",2009
Maurice Evans,"$15,070,550",2009
Brandan Wright,"$14,983,603",2009
Jason Hart,"$14,724,125",2009
Joey Graham,"$14,666,667",2009
Joe Alexander,"$14,653,466",2009
Danny Granger,"$14,500,000",2009
Damon Stoudamire,"$14,431,816",2009
Sebastian Telfair,"$14,410,581",2009
Ricky Davis,"$14,410,581",2009
Joakim Noah,"$14,410,581",2009
Maceo Baston,"$14,410,581",2009
Saer Sene,"$14,232,567",2009
Tyronn Lue,"$14,148,596",2009
DJ Augustin,"$13,930,000",2009
Spencer Hawes,"$13,775,000",2009
JJ Redick,"$13,758,000",2009
Hakim Warrick,"$13,757,844",2009
Brook Lopez,"$13,200,000",2009
Jarron Collins,"$12,827,676",2009
Acie Law,"$12,722,500",2009
Hilton Armstrong,"$12,664,335",2009
Nate Robinson,"$12,528,000",2009
Jarrett Jack,"$12,250,000",2009
Brevin Knight,"$11,593,817",2009
Eddie Jones,"$11,553,000",2009
Walter Herrmann,"$11,550,000",2009
Jerryd Bayless,"$11,375,000",2009
Francisco Garcia,"$11,350,000",2009
Grant Hill,"$11,300,000",2009
Thaddeus Young,"$11,250,000",2009
Luther Head,"$11,238,564",2009
Johan Petro,"$11,050,000",2009
Thabo Sefolosha,"$11,000,000",2009
Anthony Johnson,"$11,000,000",2009
Brent Barry,"$10,841,615",2009
Jarvis Hayes,"$10,812,500",2009
Jason Thompson,"$10,602,667",2009
Jason Maxiell,"$10,333,334",2009
Julian Wright,"$10,126,984",2009
Ronnie Brewer,"$10,000,000",2009
Linas Kleiza,"$10,000,000",2009
Antoine Wright,"$10,000,000",2009
Brandon Rush,"$9,945,000",2009
David Lee,"$9,923,285",2009
Al Thornton,"$9,905,248",2009
Chuck Hayes,"$9,862,500",2009
Cedric Simmons,"$9,723,983",2009
Adrian Griffin,"$9,704,752",2009
Anthony Randolph,"$9,680,000",2009
Goran Dragic,"$9,537,500",2009
Francisco Elson,"$9,500,000",2009
Rodney Stuckey,"$9,500,000",2009
Smush Parker,"$9,500,000",2009
Rodney Carney,"$9,385,000",2009
Robin Lopez,"$9,249,980",2009
Travis Diener,"$9,226,250",2009
