Player,Salary,Year
Nick Anderson,"$7,070,000",1992
Olden Polynice,"$3,786,000",1992
Victor Alexander,"$3,500,000",1992
Jerrod Mustaf,"$3,340,000",1992
Nate McMillan,"$3,250,000",1992
Danny Ainge,"$3,211,000",1992
Kevin Willis,"$3,200,000",1992
Gerald Glass,"$3,170,000",1992
Dee Brown,"$3,139,000",1992
Andrew Lang,"$3,100,000",1992
Greg Kite,"$3,000,000",1992
Terry Teagle,"$2,960,000",1992
Chris Gatling,"$2,875,000",1992
John Battle,"$2,844,000",1992
Craig Hodges,"$2,843,000",1992
Tim Perry,"$2,770,000",1992
Alexander Volkov,"$2,685,000",1992
Darrell Walker,"$2,556,000",1992
Stojko Vrankovic,"$2,525,000",1992
Mike Woodson,"$2,507,000",1992
Dwayne Schintzius,"$2,500,000",1992
Ed Nealy,"$2,333,000",1992
Jayson Williams,"$2,300,000",1992
Chris Morris,"$2,300,000",1992
Tim Hardaway,"$2,300,000",1992
Jerome Lane,"$2,275,000",1992
Chucky Brown,"$2,250,000",1992
Sam Mitchell,"$2,245,000",1992
Kevin Brooks,"$2,240,000",1992
Michael Smith,"$2,156,000",1992
LaBradford Smith,"$2,100,000",1992
Eric Leckner,"$2,013,000",1992
John Turner,"$2,008,000",1992
Sedale Threatt,"$2,005,000",1992
Larry Krystkowiak,"$2,002,000",1992
Eric Murdock,"$2,000,000",1992
Rich King,"$2,000,000",1992
Kevin Edwards,"$2,000,000",1992
Larry Drew,"$2,000,000",1992
Greg Dreiling,"$2,000,000",1992
Brad Sellers,"$1,980,000",1992
Brad Davis,"$1,955,000",1992
Bob Hansen,"$1,950,000",1992
Elden Campbell,"$1,925,000",1992
Mookie Blaylock,"$1,920,000",1992
Anthony Bonner,"$1,908,000",1992
Todd Lichti,"$1,883,000",1992
Jerome Kersey,"$1,861,000",1992
Spud Webb,"$1,850,000",1992
Steve Kerr,"$1,828,000",1992
Mark Alarie,"$1,807,000",1992
Danny Young,"$1,802,000",1992
Stanley Roberts,"$1,787,000",1992
Jeff Turner,"$1,786,000",1992
Randy Wittman,"$1,750,000",1992
Rod Higgins,"$1,750,000",1992
John Bagley,"$1,750,000",1992
Mark Acres,"$1,750,000",1992
Dan Majerle,"$1,725,000",1992
Otis Smith,"$1,700,000",1992
Winston Bennett,"$1,700,000",1992
Terrell Brandon,"$1,650,000",1992
Rick Fox,"$1,633,000",1992
Stuart Gray,"$1,625,000",1992
Bill Hanzlik,"$1,619,000",1992
Tom Tolbert,"$1,600,000",1992
Les Jepsen,"$1,600,000",1992
Dave Hoppen,"$1,600,000",1992
Dana Barros,"$1,590,000",1992
Micheal Williams,"$1,580,000",1992
Scott Hastings,"$1,580,000",1992
Alex English,"$1,558,000",1992
Will Perdue,"$1,520,000",1992
Duane Ferrell,"$1,509,000",1992
Alaa Abdelnaby,"$1,500,000",1992
Tate George,"$1,500,000",1992
Anthony Cook,"$1,465,000",1992
Henry James,"$1,428,000",1992
Pete Chilcutt,"$1,402,000",1992
Cliff Robinson,"$1,400,000",1992
Negele Knight,"$1,390,000",1992
Brian Oliver,"$1,386,000",1992
Kenny Gattison,"$1,378,000",1992
Harvey Grant,"$1,377,000",1992
Mark Bryant,"$1,375,000",1992
Andrew Toney,"$1,369,000",1992
Brian Quinnett,"$1,363,000",1992
Winston Garland,"$1,350,000",1992
John Morton,"$1,350,000",1992
Rickey Green,"$1,350,000",1992
BJ Armstrong,"$1,350,000",1992
Shawn Kemp,"$1,340,000",1992
Dale Davis,"$1,333,000",1992
Quintin Dailey,"$1,333,000",1992
Reggie Williams,"$1,332,000",1992
Lance Blanks,"$1,313,000",1992
Kenny Payne,"$1,309,000",1992
Rod Strickland,"$1,302,000",1992
John Starks,"$1,300,000",1992
Scott Brooks,"$1,300,000",1992
Tony Smith,"$1,295,000",1992
Mike Holton,"$1,289,000",1992
Blue Edwards,"$1,278,000",1992
Jeff Sanders,"$1,267,000",1992
Terry Davis,"$1,263,000",1992
Tree Rollins,"$1,260,000",1992
Steve Henson,"$1,250,000",1992
Scott Williams,"$1,250,000",1992
Greg Foster,"$1,250,000",1992
Mitchell Wiggins,"$1,250,000",1992
Bob Thornton,"$1,232,000",1992
Jon Sundvold,"$1,215,000",1992
A.J. English,"$1,206,000",1992
Carl Herrera,"$1,200,000",1992
Vernon Maxwell,"$1,200,000",1992
Jim Les,"$1,195,000",1992
Rafael Addison,"$1,183,000",1992
Doug West,"$1,183,000",1992
Dave Corzine,"$1,175,000",1992
Jack Haley,"$1,150,000",1992
Ken Bannister,"$1,150,000",1992
Kevin Pritchard,"$1,122,000",1992
Walter Palmer,"$1,112,000",1992
