Player,Salary,Year
James Robinson,"$30,140,000",1997
Corie Blount,"$14,857,000",1997
Sam Cassell,"$11,250,000",1997
Chris Mills,"$10,714,000",1997
Scott Burrell,"$10,212,000",1997
Johnny Newman,"$9,952,000",1997
Lucious Harris,"$9,750,000",1997
Sam Mitchell,"$9,655,000",1997
Sean Rooks,"$9,380,000",1997
Eddie Johnson,"$9,000,000",1997
Ricky Pierce,"$8,013,000",1997
Kevin Gamble,"$8,000,000",1997
Buck Williams,"$7,000,000",1997
Erick Dampier,"$7,000,000",1997
Gary Trent,"$7,000,000",1997
Mark Bryant,"$7,000,000",1997
Jon Koncak,"$6,833,000",1997
Carlos Rogers,"$6,739,000",1997
Todd Fuller,"$6,655,000",1997
Bill Curley,"$6,508,000",1997
Tony Dumas,"$6,000,000",1997
Cherokee Parks,"$5,500,000",1997
Lee Mayberry,"$5,333,000",1997
George McCloud,"$5,313,000",1997
Haywoode Workman,"$5,200,000",1997
Tom Hammonds,"$5,130,000",1997
Vitaly Potapenko,"$5,025,000",1997
Corliss Williamson,"$5,004,000",1997
B.J. Tyler,"$5,000,000",1997
Monty Williams,"$5,000,000",1997
Avery Johnson,"$4,851,000",1997
Aaron McKie,"$4,718,000",1997
Wesley Person,"$4,695,000",1997
Clifford Rozier,"$4,657,000",1997
Duane Ferrell,"$4,643,000",1997
Dickey Simpkins,"$4,640,000",1997
Kobe Bryant,"$4,500,000",1997
Eric Williams,"$4,500,000",1997
Jamie Watson,"$4,408,000",1997
Vernon Maxwell,"$4,175,000",1997
Robert Parish,"$4,151,000",1997
Bill Wennington,"$4,111,000",1997
Eric Mobley,"$4,100,000",1997
Brent Barry,"$4,002,000",1997
Lorenzo Williams,"$4,000,000",1997
Steve Nash,"$4,000,000",1997
Alan Henderson,"$3,960,000",1997
Charlie Ward,"$3,900,000",1997
Tony Delk,"$3,840,000",1997
Bob Sura,"$3,833,000",1997
Jermaine O'Neal,"$3,800,000",1997
Theo Ratliff,"$3,790,000",1997
Zan Tabak,"$3,773,000",1997
John Wallace,"$3,765,000",1997
Randolph Childress,"$3,752,000",1997
Herb Williams,"$3,610,000",1997
Walter McCarty,"$3,594,000",1997
Chris Carr,"$3,575,000",1997
Steve Kerr,"$3,557,000",1997
Michael Finley,"$3,480,000",1997
Zydrunas Ilgauskas,"$3,475,000",1997
Pete Chilcutt,"$3,409,000",1997
Jason Caffey,"$3,400,000",1997
George Zidek,"$3,400,000",1997
Dontae' Jones,"$3,360,000",1997
Travis Best,"$3,333,000",1997
Roy Rogers,"$3,300,000",1997
Keith Askins,"$3,300,000",1997
Loren Meyer,"$3,294,000",1997
Dwayne Schintzius,"$3,250,000",1997
David Vaughn,"$3,250,000",1997
Derek Fisher,"$3,200,000",1997
Mitchell Butler,"$3,194,000",1997
Bo Outlaw,"$3,140,000",1997
Greg Anderson,"$3,100,000",1997
Danny Schayes,"$3,100,000",1997
Greg Ostertag,"$3,100,000",1997
Jerome Williams,"$3,075,000",1997
David Wingate,"$3,068,000",1997
Mario Bennett,"$3,047,000",1997
Brian Evans,"$3,036,000",1997
Priest Lauderdale,"$3,000,000",1997
Cory Alexander,"$3,000,000",1997
Antonio Lang,"$3,000,000",1997
David Benoit,"$3,000,000",1997
Dontonio Wingfield,"$2,924,000",1997
Sherell Ford,"$2,915,000",1997
Chucky Brown,"$2,900,000",1997
Gary Grant,"$2,900,000",1997
Jud Buechler,"$2,869,000",1997
Alton Lister,"$2,844,000",1997
Brad Lohaus,"$2,800,000",1997
Tim Legler,"$2,794,000",1997
Donny Marshall,"$2,790,000",1997
Greg Foster,"$2,777,000",1997
Darrell Armstrong,"$2,730,000",1997
Martin Muursepp,"$2,721,000",1997
Chris Whitney,"$2,700,000",1997
Joe Wolf,"$2,700,000",1997
Rick Mahorn,"$2,694,000",1997
Michael Curry,"$2,640,000",1997
Don Reid,"$2,604,000",1997
Bryon Russell,"$2,600,000",1997
Darrick Martin,"$2,600,000",1997
Craig Ehlo,"$2,545,000",1997
David Wesley,"$2,500,000",1997
Jimmy King,"$2,500,000",1997
Lawrence Moten,"$2,500,000",1997
Shane Heal,"$2,480,000",1997
Ed Pinckney,"$2,475,000",1997
Shawnelle Scott,"$2,457,000",1997
Howard Eisley,"$2,434,000",1997
Fred Hoiberg,"$2,400,000",1997
Rafael Addison,"$2,400,000",1997
Andrew DeClercq,"$2,400,000",1997
Steve Scheffler,"$2,396,000",1997
Xavier McDaniel,"$2,363,000",1997
Anthony Goldwire,"$2,350,000",1997
Matt Fish,"$2,332,000",1997
Ashraf Amaya,"$2,317,000",1997
Jaren Jackson Jr,"$2,300,000",1997
Ben Wallace,"$2,300,000",1997
Walt Williams,"$2,286,000",1997
Dominique Wilkins,"$2,280,000",1997
Kevin Salvadori,"$2,280,000",1997
Tyus Edney,"$2,267,000",1997
Reggie Jordan,"$2,260,000",1997
Darrin Hancock,"$2,250,000",1997
Rex Chapman,"$2,250,000",1997
Mark Davis,"$2,225,000",1997
Mark Bradtke,"$2,215,000",1997
Doug Overton,"$2,186,000",1997
Derek Strong,"$2,155,000",1997
Gerald Wilkins,"$2,100,000",1997
Larry Stewart,"$2,090,000",1997
Eric Snow,"$2,060,000",1997
Antonio Harvey,"$2,060,000",1997
