Player,Salary,Year
Caron Butler,"$20,000,000",2006
Luol Deng,"$19,125,000",2006
Jared Jeffries,"$19,125,000",2006
Anthony Johnson,"$18,612,500",2006
Melvin Ely,"$18,000,000",2006
James Jones,"$16,453,125",2006
Charlie Villanueva,"$16,453,125",2006
Fred Jones,"$16,440,000",2006
Fabricio Oberto,"$16,440,000",2006
TJ Ford,"$16,006,220",2006
Dan Dickau,"$15,946,875",2006
Rafael Araujo,"$15,845,156",2006
Darius Songaila,"$15,750,000",2006
Jose Calderon,"$15,694,250",2006
Jiri Welsch,"$15,694,250",2006
Channing Frye,"$15,694,250",2006
Mike Sweetney,"$15,694,250",2006
Andre Iguodala,"$14,576,250",2006
Jarvis Hayes,"$13,975,000",2006
Matt Bonner,"$13,925,000",2006
Mark Madsen,"$13,843,156",2006
Toni Kukoc,"$13,843,156",2006
Vlade Divac,"$13,843,156",2006
Dikembe Mutombo,"$13,843,156",2006
Derrick Coleman,"$13,700,000",2006
Ike Diogu,"$13,700,000",2006
Curtis Borchardt,"$13,700,000",2006
Luke Jackson,"$13,223,140",2006
Jake Voskuhl,"$13,152,000",2006
Mickael Pietrus,"$12,000,000",2006
Andrew Bynum,"$12,000,000",2006
Jumaine Jones,"$11,666,666",2006
Charlie Ward,"$11,593,816",2006
Andris Biedrins,"$11,500,000",2006
DeSagana Diop,"$11,465,333",2006
Nick Collison,"$10,993,000",2006
Jon Barry,"$10,983,000",2006
Robert Swift,"$10,860,000",2006
Tayshaun Prince,"$10,763,000",2006
Ibo Kutluay,"$10,666,667",2006
Fred Hoiberg,"$10,636,364",2006
Maurice Williams,"$10,623,288",2006
Wesley Person,"$10,344,900",2006
Calbert Cheaney,"$10,243,200",2006
Lindsey Hunter,"$10,200,000",2006
Ron Mercer,"$10,075,000",2006
Raul Lopez,"$10,000,000",2006
Marcus Banks,"$9,775,000",2006
Yaroslav Korolev,"$9,625,000",2006
Jarron Collins,"$9,183,333",2006
Sebastian Telfair,"$9,150,000",2006
Michael Ruffin,"$9,100,000",2006
Malik Allen,"$9,000,000",2006
Scott Padgett,"$8,935,000",2006
John Salmons,"$8,888,888",2006
Jason Collier,"$8,750,000",2006
Luke Ridnour,"$8,740,000",2006
Sean May,"$8,662,500",2006
Kris Humphries,"$8,640,000",2006
Joel Przybilla,"$8,625,000",2006
Reece Gaines,"$8,571,429",2006
Jason Hart,"$8,533,333",2006
Rashad McCants,"$8,500,000",2006
Al Jefferson,"$8,470,000",2006
Maurice Evans,"$8,400,000",2006
Troy Bell,"$8,367,187",2006
Antoine Wright,"$8,250,000",2006
Kirk Snyder,"$8,100,000",2006
Zarko Cabarkapa,"$8,000,000",2006
Milt Palacio,"$8,000,000",2006
Joey Graham,"$8,000,000",2006
Josh Smith,"$7,900,000",2006
Jermaine Jackson,"$7,700,000",2006
David West,"$7,562,500",2006
Danny Granger,"$7,500,000",2006
Rasual Butler,"$7,500,000",2006
JR Smith,"$7,500,000",2006
Aleksandar Pavlovic,"$7,428,937",2006
Gerald Green,"$7,390,000",2006
Keith McLeod,"$7,365,079",2006
Luke Walton,"$7,333,333",2006
Dorell Wright,"$7,312,500",2006
Dahntay Jones,"$7,255,098",2006
